src_ip,dst_ip,protocol,size,dst_port
192.168.171.198,163.70.146.61,6,79,5222
163.70.146.61,192.168.171.198,6,54,51521
192.168.171.198,13.107.246.72,6,55,443
13.107.246.72,192.168.171.198,6,66,51559
192.168.171.198,224.0.0.251,17,216,5353
192.168.171.198,224.0.0.251,17,87,5353
192.168.171.198,224.0.0.251,17,87,5353
192.168.171.198,224.0.0.251,17,87,5353
192.168.171.198,224.0.0.251,17,282,5353
192.168.171.198,224.0.0.251,17,224,5353
192.168.171.198,20.69.137.228,6,54,443
192.168.171.198,20.69.137.228,6,54,443
192.168.171.198,20.44.229.37,6,54,443
20.44.229.37,192.168.171.198,6,54,51557
192.168.171.198,20.44.229.37,6,54,443
20.69.137.228,192.168.171.198,6,54,51555
20.69.137.228,192.168.171.198,6,54,51556
192.168.171.198,20.69.137.228,6,54,443
192.168.171.198,20.69.137.228,6,54,443
192.168.171.198,142.251.175.188,6,55,5228
142.251.175.188,192.168.171.198,6,66,50979
192.168.171.198,49.44.179.139,6,55,443
49.44.179.139,192.168.171.198,6,66,51353
192.168.171.198,3.6.55.179,6,55,443
3.6.55.179,192.168.171.198,6,54,51572
192.168.171.198,49.44.179.139,6,55,443
49.44.179.139,192.168.171.198,6,66,51509
163.70.146.61,192.168.171.198,6,232,51521
192.168.171.198,163.70.146.61,6,54,5222
192.168.171.198,163.70.146.61,6,116,5222
163.70.146.61,192.168.171.198,6,54,51521
192.168.171.198,140.82.113.25,6,55,443
140.82.113.25,192.168.171.198,6,66,51490
192.168.171.198,163.70.146.61,6,1129,5222
163.70.146.61,192.168.171.198,6,54,51521
163.70.146.61,192.168.171.198,6,93,51521
192.168.171.198,163.70.146.61,6,54,5222
163.70.146.61,192.168.171.198,6,217,51521
192.168.171.198,163.70.146.61,6,54,5222
192.168.171.198,163.70.146.61,6,100,5222
163.70.146.61,192.168.171.198,6,54,51521
192.168.171.198,35.190.80.1,6,55,443
35.190.80.1,192.168.171.198,6,66,51520
0.0.0.0,255.255.255.255,17,342,67
192.168.171.16,224.0.0.251,17,100,5353
192.168.171.16,224.0.0.251,17,100,5353
192.168.171.198,13.107.246.72,6,55,443
163.70.146.61,192.168.171.198,6,123,51521
163.70.146.61,192.168.171.198,6,123,51521
192.168.171.198,163.70.146.61,6,54,5222
192.168.171.198,163.70.146.61,6,117,5222
192.168.171.198,163.70.146.61,6,117,5222
163.70.146.61,192.168.171.198,6,123,51521
192.168.171.198,163.70.146.61,6,117,5222
163.70.146.61,192.168.171.198,6,54,51521
163.70.146.61,192.168.171.198,6,54,51521
163.70.146.61,192.168.171.198,6,54,51521
163.70.146.61,192.168.171.198,6,123,51521
163.70.146.61,192.168.171.198,6,123,51521
192.168.171.198,163.70.146.61,6,54,5222
163.70.146.61,192.168.171.198,6,123,51521
163.70.146.61,192.168.171.198,6,123,51521
192.168.171.198,163.70.146.61,6,54,5222
192.168.171.198,163.70.146.61,6,117,5222
192.168.171.198,163.70.146.61,6,117,5222
192.168.171.198,163.70.146.61,6,117,5222
192.168.171.198,163.70.146.61,6,117,5222
163.70.146.61,192.168.171.198,6,54,51521
163.70.146.61,192.168.171.198,6,54,51521
163.70.146.61,192.168.171.198,6,54,51521
192.168.171.16,224.0.0.251,17,100,5353
163.70.146.61,192.168.171.198,6,122,51521
140.82.113.25,192.168.171.198,6,80,51490
192.168.171.198,140.82.113.25,6,84,443
192.168.171.198,163.70.146.61,6,116,5222
163.70.146.61,192.168.171.198,6,54,51521
140.82.113.25,192.168.171.198,6,54,51490
192.168.171.16,224.0.0.251,17,100,5353
13.107.253.254,192.168.171.198,6,85,51568
192.168.171.198,13.107.253.254,6,54,443
13.107.253.254,192.168.171.198,6,54,51568
192.168.171.198,13.107.253.254,6,54,443
192.168.171.198,142.251.175.188,6,55,5228
142.251.175.188,192.168.171.198,6,66,50979
192.168.171.198,192.168.171.157,17,85,53
192.168.171.157,192.168.171.198,17,174,64768
192.168.171.198,13.107.6.158,6,66,443
13.107.6.158,192.168.171.198,6,66,51574
192.168.171.198,13.107.6.158,6,54,443
192.168.171.198,13.107.6.158,6,529,443
13.107.6.158,192.168.171.198,6,54,51574
13.107.6.158,192.168.171.198,6,1334,51574
192.168.171.198,13.107.6.158,6,54,443
13.107.6.158,192.168.171.198,6,1334,51574
192.168.171.198,13.107.6.158,6,54,443
13.107.6.158,192.168.171.198,6,1334,51574
192.168.171.198,13.107.6.158,6,54,443
13.107.6.158,192.168.171.198,6,1334,51574
13.107.6.158,192.168.171.198,6,1334,51574
13.107.6.158,192.168.171.198,6,970,51574
192.168.171.198,13.107.6.158,6,54,443
192.168.171.198,13.107.6.158,6,134,443
192.168.171.198,13.107.6.158,6,134,443
192.168.171.198,13.107.6.158,6,562,443
13.107.6.158,192.168.171.198,6,54,51574
13.107.6.158,192.168.171.198,6,513,51574
192.168.171.198,13.107.6.158,6,54,443
13.107.6.158,192.168.171.198,6,116,51574
192.168.171.198,13.107.6.158,6,54,443
13.107.6.158,192.168.171.198,6,54,51574
192.168.171.198,13.107.6.158,6,85,443
13.107.6.158,192.168.171.198,6,684,51574
192.168.171.198,13.107.6.158,6,54,443
192.168.171.198,13.107.6.158,6,2633,443
192.168.171.198,13.107.6.158,6,205,443
192.168.171.198,13.107.6.158,6,85,443
13.107.6.158,192.168.171.198,6,54,51574
13.107.6.158,192.168.171.198,6,54,51574
13.107.6.158,192.168.171.198,6,54,51574
13.107.6.158,192.168.171.198,6,568,51574
13.107.6.158,192.168.171.198,6,86,51574
192.168.171.198,13.107.6.158,6,54,443
13.107.6.158,192.168.171.198,6,86,51574
192.168.171.198,13.107.6.158,6,54,443
13.107.6.158,192.168.171.198,6,85,51574
192.168.171.198,13.107.6.158,6,54,443
192.168.171.198,13.89.179.13,6,54,443
192.168.171.198,13.89.179.13,6,54,443
192.168.171.198,13.89.179.13,6,66,443
13.89.179.13,192.168.171.198,6,66,51575
192.168.171.198,13.89.179.13,6,54,443
13.89.179.13,192.168.171.198,6,54,51566
192.168.171.198,13.89.179.13,6,54,443
13.89.179.13,192.168.171.198,6,54,51565
192.168.171.198,13.89.179.13,6,54,443
192.168.171.198,49.44.179.139,6,55,443
49.44.179.139,192.168.171.198,6,66,51353
192.168.171.198,3.6.55.179,6,55,443
3.6.55.179,192.168.171.198,6,54,51572
